iter	Passed	Remaining
0	145	145521
1	146	73134
2	147	48964
3	148	36880
4	149	29724
5	150	24859
6	151	21541
7	155	19305
8	156	17260
9	157	15607
10	158	14247
11	159	13142
12	160	12172
13	160	11337
14	161	10614
15	162	9981
16	164	9502
17	165	9040
18	167	8637
19	168	8255
20	169	7892
21	170	7591
22	171	7284
23	181	7361
24	183	7153
25	184	6916
26	186	6706
27	187	6500
28	195	6557
29	197	6377
30	198	6200
31	199	6027
32	200	5862
33	200	5708
34	201	5563
35	202	5421
36	209	5465
37	211	5361
38	212	5246
39	214	5139
40	214	5027
41	215	4919
42	216	4825
43	217	4726
44	224	4765
45	226	4695
46	227	4611
47	228	4527
48	229	4444
49	229	4366
50	231	4306
51	232	4233
52	232	4161
53	237	4167
54	240	4132
55	241	4077
56	242	4015
57	243	3955
58	244	3896
59	245	3840
60	246	3787
61	246	3732
62	247	3678
63	247	3626
64	253	3641
65	254	3602
66	255	3562
67	256	3518
68	257	3479
69	258	3440
70	259	3399
71	260	3357
72	261	3321
73	262	3286
74	268	3308
75	269	3277
76	270	3246
77	272	3219
78	273	3186
79	274	3152
80	274	3119
81	276	3099
82	277	3065
83	283	3093
84	286	3082
85	287	3058
86	288	3027
87	289	2998
88	290	2968
89	290	2940
90	291	2913
91	292	2885
92	292	2857
93	298	2875
94	300	2859
95	301	2837
96	302	2814
97	303	2794
98	304	2772
99	305	2751
100	314	2799
101	316	2787
102	317	2766
103	318	2744
104	319	2723
105	320	2702
106	321	2686
107	322	2666
108	323	2644
109	325	2631
110	329	2638
111	330	2618
112	335	2631
113	337	2623
114	338	2605
115	339	2587
116	340	2567
117	341	2552
118	342	2536
119	343	2520
120	344	2501
121	344	2481
122	345	2463
123	352	2487
124	353	2476
125	354	2461
126	355	2443
127	356	2427
128	357	2415
129	360	2411
130	370	2459
131	372	2448
132	373	2434
133	374	2419
134	375	2403
135	375	2387
136	383	2415
137	384	2402
138	385	2388
139	386	2377
140	388	2364
141	388	2348
142	389	2335
143	390	2320
144	390	2305
145	391	2290
146	400	2323
147	401	2310
148	402	2296
149	403	2283
150	403	2270
151	404	2256
152	405	2245
153	406	2232
154	411	2240
155	412	2231
156	415	2228
157	416	2217
158	417	2205
159	417	2193
160	418	2180
161	419	2168
162	420	2157
163	420	2145
164	421	2132
165	426	2140
166	427	2133
167	431	2135
168	432	2124
169	433	2115
170	434	2104
171	434	2093
172	435	2083
173	436	2071
174	442	2086
175	446	2088
176	447	2079
177	447	2068
178	448	2058
179	449	2048
180	451	2043
181	452	2032
182	456	2038
183	457	2030
184	459	2026
185	461	2018
186	462	2009
187	463	1999
188	463	1990
189	464	1980
190	465	1972
191	466	1962
192	466	1952
193	473	1966
194	474	1959
195	475	1951
196	476	1942
197	478	1936
198	478	1927
199	479	1919
200	480	1910
201	481	1901
202	481	1891
203	487	1901
204	489	1897
205	490	1890
206	491	1883
207	492	1874
208	493	1866
209	493	1858
210	494	1849
211	496	1846
212	502	1856
213	503	1850
214	506	1847
215	506	1839
216	507	1832
217	508	1824
218	509	1815
219	510	1808
220	511	1802
221	512	1794
222	519	1810
223	521	1806
224	522	1799
225	523	1794
226	524	1787
227	525	1780
228	526	1772
229	527	1765
230	527	1757
231	531	1759
232	532	1754
233	533	1747
234	534	1740
235	535	1733
236	535	1725
237	536	1717
238	537	1710
239	537	1702
240	538	1696
241	539	1691
242	540	1683
243	545	1688
244	546	1684
245	547	1679
246	549	1674
247	549	1667
248	550	1660
249	551	1654
250	552	1648
251	553	1642
252	554	1636
253	554	1629
254	555	1622
255	563	1636
256	564	1631
257	565	1625
258	566	1620
259	567	1614
260	568	1608
261	568	1602
262	569	1595
263	570	1589
264	570	1583
265	577	1592
266	578	1589
267	579	1583
268	580	1578
269	581	1572
270	582	1566
271	583	1562
272	584	1556
273	585	1550
274	585	1544
275	591	1552
276	593	1548
277	594	1544
278	595	1538
279	596	1533
280	597	1527
281	597	1521
282	598	1515
283	598	1510
284	599	1504
285	600	1498
286	601	1493
287	603	1493
288	605	1488
289	606	1484
290	608	1481
291	609	1477
292	610	1473
293	611	1468
294	612	1464
295	615	1463
296	617	1460
297	618	1456
298	619	1451
299	619	1445
300	620	1440
301	621	1435
302	621	1429
303	622	1424
304	623	1420
305	624	1415
306	624	1409
307	631	1418
308	633	1416
309	634	1411
310	635	1406
311	635	1402
312	636	1397
313	637	1393
314	638	1388
315	639	1383
316	639	1378
317	644	1382
318	648	1383
319	649	1379
320	650	1375
321	651	1371
322	652	1366
323	652	1361
324	653	1357
325	654	1352
326	654	1347
327	655	1342
328	660	1347
329	661	1343
330	662	1339
331	663	1334
332	664	1330
333	664	1325
334	665	1320
335	665	1316
336	666	1311
337	667	1306
338	667	1302
339	669	1299
340	669	1294
341	675	1300
342	678	1299
343	679	1296
344	680	1292
345	682	1290
346	683	1286
347	684	1283
348	687	1282
349	689	1280
350	690	1276
351	691	1272
352	692	1269
353	693	1266
354	694	1262
355	695	1258
356	696	1253
357	696	1249
358	697	1245
359	701	1246
360	703	1245
361	704	1240
362	704	1236
363	705	1232
364	706	1228
365	706	1224
366	707	1219
367	707	1215
368	708	1211
369	709	1207
370	709	1203
371	710	1199
372	711	1196
373	712	1192
374	712	1187
375	718	1192
376	719	1189
377	721	1186
378	722	1183
379	723	1179
380	723	1175
381	724	1171
382	724	1167
383	725	1163
384	726	1159
385	726	1156
386	727	1152
387	728	1148
388	733	1151
389	734	1148
390	735	1145
391	735	1141
392	736	1137
393	737	1134
394	738	1130
395	738	1127
396	739	1123
397	740	1120
398	741	1116
399	741	1112
400	742	1109
401	743	1105
402	749	1110
403	750	1107
404	751	1104
405	752	1100
406	752	1096
407	754	1095
408	755	1091
409	757	1090
410	758	1086
411	761	1087
412	763	1085
413	764	1081
